location,Km,Transmission,Prix,Source,Modele,Carburant,Marque,Origine,Cv,Mc,PremiereMain,Portes,Couleur,Etat,MoisScraping,Prix_Neuf,BlueHDi,dCi,TDI,CRDi,EAT8,BVA,STT,Active,Allure,GT,Titanium,RS,S-Tronic,quattro,S-line,Business,Ambiance,Confort,Prestige,Pack,Promo,Life,Edition,Trend,Elegance,Premium,Techno,Explore,Executive,Dynamic,Intens,Luxe,Seductive,Stepway,promo,RS_Line,Multijet,Panorama,Combi,Enginereed,E-Tech,HEV,Prix_Expert
rabat,12232,automatique,260000.0,Classified,megane,diesel,renault,ww,6.0,2023,oui,5.0,unknown,bon,10.0,316000.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,197816.0
casablanca,28514,manuelle,96000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2019,non,5.0,unknown,bon,10.0,184900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66933.8
safi,83000,automatique,177000.0,Classified,308,diesel,peugeot,unknown,6.0,2020,non,5.0,unknown,bon,10.0,260900.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96533.0
casablanca,106153,automatique,183000.0,Classified,308,diesel,peugeot,ww,6.0,2021,non,5.0,unknown,bon,10.0,260900.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106708.1
casablanca,89597,manuelle,136000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2021,non,5.0,blanc,bon,10.0,153400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,70870.8
casablanca,159583,automatique,216700.0,Classified,other,diesel,hyundai,maroc,6.0,2021,non,5.0,rouge,bon,10.0,253000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107272.0
casablanca,157863,manuelle,94000.0,Rentals,express,diesel,renault,unknown,6.0,2022,non,5.0,blanc,bon,10.0,177500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84135.0
casablanca,156000,manuelle,145000.0,Classified,308,diesel,peugeot,unknown,6.0,2017,oui,5.0,unknown,bon,10.0,227900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67458.4
casablanca,40155,manuelle,142000.0,Rentals,express,diesel,renault,unknown,6.0,2023,non,5.0,blanc,bon,10.0,181000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111315.0
marrakech,94237,manuelle,155000.0,Classified,208,diesel,peugeot,ww,6.0,2023,non,5.0,unknown,bon,10.0,220900.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130772.8
tetouan,62499,automatique,285000.0,Classified,other,diesel,peugeot,ww,8.0,2021,oui,5.0,unknown,excellent,10.0,409900.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170928.3
agadir,98413,automatique,245000.0,Classified,2008,diesel,peugeot,unknown,6.0,2020,non,5.0,noir,bon,10.0,274900.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100613.4
mohammedia,2499,automatique,279000.0,Classified,2008,diesel,peugeot,ww,6.0,2024,oui,5.0,unknown,excellent,10.0,294900.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,209379.0
casablanca,106578,automatique,233000.0,Rentals,3008,diesel,peugeot,unknown,6.0,2021,non,5.0,blanc,bon,10.0,406900.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127334.1
casablanca,131176,automatique,190000.0,Rentals,tiguan,diesel,volkswagen,unknown,8.0,2021,non,5.0,blanc,bon,10.0,470000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188940.0
marrakech,95188,automatique,205000.0,Classified,corolla sport,hybride,toyota,ww,10.0,2020,non,5.0,unknown,bon,10.0,295000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70800.0
casablanca,97430,manuelle,95000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2020,non,5.0,unknown,bon,10.0,149900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54863.4
fes,99157,manuelle,220000.0,Classified,other,diesel,peugeot,ww,6.0,2022,non,5.0,unknown,bon,10.0,208900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,105285.6
casablanca,152934,manuelle,80000.0,Rentals,c elysee,diesel,citroen,unknown,6.0,2021,non,4.0,gris,bon,10.0,143900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56696.6
casablanca,62576,automatique,240000.0,Classified,kuga,diesel,ford,ww,6.0,2021,oui,5.0,unknown,bon,10.0,404000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,168468.0
casablanca,9036,manuelle,173000.0,Classified,sandero,diesel,dacia,ww,6.0,2025,oui,5.0,unknown,bon,10.0,185000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,148000.0
casablanca,13807,automatique,305000.0,Classified,tucson,diesel,hyundai,ww,6.0,2023,oui,5.0,unknown,bon,10.0,422000.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264172.0
rabat,104999,manuelle,119000.0,Classified,208,diesel,peugeot,ww,6.0,2019,oui,5.0,unknown,excellent,10.0,174900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54393.9
casablanca,39503,automatique,520000.0,Classified,other,diesel,audi,ww,8.0,2024,oui,5.0,unknown,bon,10.0,695000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480940.0
casablanca,120040,manuelle,165000.0,Classified,megane,diesel,renault,ww,6.0,2019,non,5.0,unknown,bon,10.0,268900.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81476.7
casablanca,85366,manuelle,120000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2020,non,5.0,unknown,bon,10.0,153500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56795.0
casablanca,144999,automatique,348000.0,Classified,q5,diesel,audi,ww,8.0,2018,oui,5.0,unknown,excellent,10.0,659000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197700.0
casablanca,169215,manuelle,190000.0,Rentals,other,diesel,renault,unknown,6.0,2021,non,5.0,blanc,bon,10.0,299900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127334.1
casablanca,9533,manuelle,191000.0,Classified,208,diesel,peugeot,ww,6.0,2025,oui,5.0,unknown,bon,10.0,272600.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218080.0
casablanca,67372,automatique,680000.0,Classified,x5,hybride,bmw,ww,17.0,2021,oui,5.0,unknown,bon,10.0,935000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276760.0
agadir,119953,manuelle,150000.0,Classified,208,diesel,peugeot,ww,6.0,2022,oui,5.0,unknown,bon,10.0,212900.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106450.0
casablanca,32281,automatique,355000.0,Classified,q3,diesel,audi,ww,8.0,2020,oui,5.0,unknown,bon,10.0,524000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203836.0
temara,131382,automatique,289000.0,Classified,tucson,diesel,hyundai,unknown,6.0,2021,non,5.0,noir,bon,10.0,371000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149142.0
fes,39000,automatique,230000.0,Classified,corolla sport,hybride,toyota,ww,10.0,2023,oui,5.0,unknown,bon,10.0,280586.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,141695.93
agadir,47221,manuelle,170000.0,Classified,clio,diesel,renault,unknown,6.0,2023,non,5.0,noir,bon,10.0,185000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113775.0
casablanca,27780,manuelle,144000.0,Rentals,express,diesel,renault,unknown,6.0,2023,non,5.0,unknown,bon,10.0,181000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112763.0
casablanca,58444,manuelle,132000.0,Classified,express,diesel,renault,ww,6.0,2023,non,5.0,unknown,bon,10.0,181000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110591.0
casablanca,143856,automatique,230000.0,Rentals,a4,diesel,audi,unknown,8.0,2021,non,5.0,unknown,bon,10.0,520000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223600.0
casablanca,90000,automatique,340000.0,Classified,other,diesel,bmw,ww,12.0,2016,non,5.0,unknown,bon,10.0,948000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183912.0
casablanca,19769,automatique,315000.0,Classified,2008,diesel,peugeot,ww,6.0,2024,oui,5.0,unknown,bon,10.0,334900.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235769.6
casablanca,75447,manuelle,150000.0,Classified,other,diesel,dacia,ww,6.0,2023,oui,5.0,unknown,bon,10.0,166000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100264.0
